Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
103,Tools & Accessories,3.22875,-4.81625,0.35,0.45625,0.42625,0.68625,0.37,28,32,32,31,30,"LECO,RBC,HLMN,SNA,TTC,TKR,KMT,SWK"
104,"Furnishings, Fixtures & Appliances",2.9564285714285714,-5.071428571428571,0.2935714285714286,0.3892857142857143,0.47214285714285714,0.6749999999999999,0.3914285714285714,27,32,56,32,20,"SCS,SGI,TILE,PATK,AMWD,MHK,ETD,MBC,LEG,HNI,SN,MLKN,LZB,WHR"
105,Healthcare Plans,2.953,-2.153,0.58,0.655,0.5650000000000001,0.377,0.5660000000000001,27,22,6,1,87,"CVS,ALHC,OSCR,HUM,PGNY,CI,ELV,UNH,CNC,MOH"
106,Integrated Freight & Logistics,2.703333333333333,-3.529166666666666,0.41083333333333333,0.5066666666666667,0.435,0.6241666666666666,0.3458333333333334,26,25,23,36,19,"CYRX,PBI,CHRW,GXO,EXPD,ZTO,FDX,FWRD,HUBG,JBHT,LSTR,UPS"
107,Resorts & Casinos,1.9507142857142854,-7.950000000000001,0.35214285714285715,0.4957142857142857,0.43857142857142856,0.7421428571428572,0.3821428571428571,25,39,51,61,15,"WYNN,MCRI,RRR,MLCO,BYD,LVS,HGV,BALY,MTN,PENN,MGM,VAC,GDEN,CZR"
108,Discount Stores,1.77,-3.7744444444444443,0.4155555555555555,0.40555555555555556,0.4655555555555556,0.4855555555555556,0.5644444444444444,25,23,38,49,80,"PSMT,WMT,OLLI,DG,DLTR,COST,BJ,TBBB,TGT"
109,Auto & Truck Dealerships,1.71,-7.65875,0.259375,0.415625,0.464375,0.628125,0.42375,24,37,56,78,54,"KFS,CVNA,KAR,AN,SAH,CARG,PAG,GPI,ABG,RUSHA,LAD,VVV,DRVN,CWH,KMX,ACVA"
110,Farm Products,1.61625,-2.22,0.40375,0.4325,0.35250000000000004,0.49624999999999997,0.54125,23,18,45,20,73,"ADM,VITL,FDP,BG,CALM,TSN,DOLE,AGRO"
111,Specialty Chemicals,1.447837837837838,-5.02972972972973,0.3116216216216216,0.3964864864864865,0.4605405405405405,0.6516216216216216,0.37324324324324326,23,27,41,30,17,"PRM,ODC,NGVT,NEU,MATV,HWKN,HDSN,ALB,CLMT,SXT,ECVT,ECL,SQM,ESI,DD,KWR,LIN,RPM,SHW,MTX,FUL,BCPC,APD,CC,PPG,KOP,AVNT,WDFC,CBT,SCL,AXTA,ASH,IOSP,WLK,IFF,EMN,LYB"
112,REIT - Office,1.4412500000000004,-5.48625,0.2225,0.424375,0.694375,0.55875,0.360625,22,29,34,41,39,"JBGS,KRC,PSTL,PKST,HIW,PDM,NLOP,BXP,VNO,CDP,CUZ,SLG,DEI,DEA,ARE,ESBA"
113,REIT - Retail,1.1876923076923078,-2.920384615384615,0.35461538461538467,0.4296153846153846,0.5169230769230769,0.5026923076923077,0.4157692307692308,21,19,18,23,63,"NTST,CBL,SPG,ALX,O,BRX,REG,UE,ADC,NNN,MAC,SKT,FRT,IVT,KIM,CURB,ALEX,AKR,KRG,PECO,SITC,EPRT,GTY,FCPT,WSR,BFS"
114,Leisure,0.9260000000000005,-8.505333333333333,0.378,0.518,0.41133333333333333,0.6126666666666666,0.382,20,37,46,58,33,"JOUT,MSGE,GOLF,HAS,AS,OSW,PRKS,MODG,LUCK,PLNT,MAT,YETI,LTH,XPOF,FUN"
115,Railroads,0.49249999999999994,-3.0637499999999998,0.48375,0.67,0.37375,0.64875,0.38125,20,17,9,34,30,"NSC,CSX,UNP,WAB,CP,TRN,CNI,GBX"
116,Agricultural Inputs,0.4800000000000004,-4.5675,0.425,0.48,0.47000000000000003,0.52125,0.44375,19,21,25,76,49,"UAN,NTR,MOS,CF,IPI,CTVA,SMG,FMC"
117,Building Products & Equipment,0.39250000000000007,-3.7591666666666663,0.39208333333333334,0.4458333333333333,0.39916666666666667,0.6587500000000001,0.3841666666666667,18,20,20,39,22,"ARLO,AWI,JCI,JBI,SPXC,SWIM,WMS,AAON,ROCK,TT,GFF,ASPN,MAS,LPX,LMB,BLDR,LII,OC,CSL,TREX,APOG,FBIN,CARR,NX"
118,Financial Data & Stock Exchanges,0.3550000000000004,-1.0666666666666664,0.4375,0.3825,0.43083333333333335,0.5933333333333334,0.43249999999999994,18,13,23,65,65,"COIN,CBOE,NDAQ,CME,MCO,ICE,SPGI,MSCI,VALU,TRU,MORN,FDS"
